id,generic_name,brand_name,manufacturer,category,subcategory,ndc,price,dosage_form,dosage,description,gene_interactions,stock
1,Qutriptan,qutriptan,Strides Pharma,Central Nervous System,NSAID,55220-854-73,138.72,Extended-Release Tablet,"5 mcg Extended-Release Tablet, 14 Extended-Release Tablets per bottle. Typical dosing: once daily.","qutriptan is indicated for the management of chronic pain conditions through its action on central pain pathways.

Mechanism of Action: qutriptan works by binding to opioid receptors, modulating pain perception pathways.

Pharmacokinetics: Rapidly absorbed from the gastrointestinal tract. Crosses the blood-brain barrier. Extensively metabolized in the liver via CYP450 enzymes, primarily CYP3A4. Excreted in urine as metabolites.

Contraindications: Recent myocardial infarction; Pregnancy and lactation; Hypersensitivity to the active substance or any of the excipients; Concomitant use of monoamine oxidase inhibitors; Angle-closure glaucoma.

Common Adverse Effects: Insomnia, Depression, Confusion, Memory impairment.","G6PD,CYP2D6,HLA-B*5701",652
2,Hyciclovir,hyciclovir Hydrochloride,Serum Institute,Anticancer,Immunotherapy,39295-602-56,590.24,Capsule,"1.0 g Capsule, 10 Capsules per bottle. Typical dosing: three times daily.","hyciclovir is used in the treatment of conditions requiring anticancer therapy.

Mechanism of Action: hyciclovir works by counteracting pathological changes in tissue function.

Pharmacokinetics: Subject to significant first-pass metabolism resulting in reduced bioavailability. Crosses the blood-brain barrier. Metabolized via non-CYP450 pathways. Elimination rate depends on hepatic function.

Contraindications: Hypersensitivity to the active substance or any of the excipients; Pregnancy and lactation; Severe hepatic impairment.

Common Adverse Effects: Dizziness, Headache, Vomiting, Rash.",,357
3,Qusal,qusal Sodium,Johnson & Johnson,Gastrointestinal,Antispasmodic,94004-483-31,349.04,Injection,"20 mg Injection, 5 5 mL vials. Typical dosing: twice daily.","qusal is a antispasmodic used in the treatment of acid-related gastrointestinal disorders.

Mechanism of Action: qusal works by stimulating gastrointestinal motility through acetylcholine-like effects.

Pharmacokinetics: Subject to significant first-pass metabolism resulting in reduced bioavailability. Moderately protein-bound (approximately 60-80%). Metabolized via non-CYP450 pathways. Excreted in urine as metabolites.

Contraindications: Inflammatory bowel disease in acute phase; Severe renal impairment; Gastrointestinal obstruction.

Common Adverse Effects: Abdominal pain, Flatulence, Pruritus, Vomiting, Headache, Dyspepsia, Dizziness.",,602
4,Peglitazone,peglitazone,AbbVie,Anticancer,Topoisomerase Inhibitor,39095-225-59,352.89,Lozenges,"10 mg Lozenges, 30 units per package. Typical dosing: as directed by physician.","peglitazone is a topoisomerase inhibitor medication classified under anticancer drugs.

Mechanism of Action: peglitazone works by inhibiting key enzymes in pathological processes.

Pharmacokinetics: Bioavailability is approximately 60-80% after oral administration. Low protein binding (<30%). Undergoes conjugation reactions in the liver. Eliminated through both renal and biliary routes.

Contraindications: Pregnancy and lactation; Hypersensitivity to the active substance or any of the excipients; Severe renal impairment; Severe hepatic impairment.

Common Adverse Effects: Dizziness, Diarrhea, Nausea, Fatigue.",,508
5,Tithiazide,AL-tithiazide XR,Alkem Laboratories,Antiparasitic,Antihelminthic,23588-868-75,97.18,Extended-Release Capsule,"200 mcg Extended-Release Capsule, 28 Extended-Release Capsules per bottle. Typical dosing: twice daily.","tithiazide belongs to the class of antihelminthic agents within the antiparasitic category.

Mechanism of Action: tithiazide works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Absorption is enhanced when taken with food. Distribution limited primarily to the vascular compartment. Extensively metabolized in the liver via CYP450 enzymes, primarily CYP3A4. Eliminated through both renal and biliary routes.

Contraindications: Severe hepatic impairment; Hypersensitivity to the active substance or any of the excipients; Pregnancy and lactation; Severe renal impairment.

Common Adverse Effects: Nausea, Abdominal pain, Headache, Vomiting, Pruritus.",,362
6,Nazepine,nazepine,Zydus Cadila,Dermatological,Antibiotic,59644-733-15,101.9,Syrup,"0.25 mg/5mL Syrup, 10 mL bottle. Typical dosing: three times daily.","nazepine is used in the treatment of conditions requiring dermatological therapy.

Mechanism of Action: nazepine works by modulating biochemical pathways involved in the disease process.

Pharmacokinetics: Bioavailability is approximately 60-80% after oral administration. Widely distributed throughout body tissues. Extensively metabolized in the liver via CYP450 enzymes, primarily CYP3A4. Prolonged half-life allowing once-daily dosing.

Contraindications: Pregnancy and lactation; Severe hepatic impairment; Severe renal impairment; Hypersensitivity to the active substance or any of the excipients.

Common Adverse Effects: Nausea, Fatigue, Abdominal pain, Rash, Diarrhea, Vomiting.","DPYD,CYP3A4,CFTR",595
7,Sumicin,sumicin Hydrochloride,Eli Lilly,Antibiotic,Quinolone,30597-179-33,10.12,Drops,"1000 mg Drops, 30 units per package. Typical dosing: four times daily.","sumicin is a broad-spectrum antibiotic used to treat various bacterial infections throughout the body.

Mechanism of Action: sumicin works by inhibiting DNA gyrase and topoisomerase IV, preventing bacterial DNA replication.

Pharmacokinetics: Rapidly absorbed from the gastrointestinal tract. Crosses the blood-brain barrier. Metabolized through multiple pathways with no single dominant route. Elimination rate depends on hepatic function.

Contraindications: Concurrent use of contraindicated medications; Severe renal impairment; Severe hepatic impairment; Hypersensitivity to the active substance or any of the excipients.

Common Adverse Effects: Dizziness, QT interval prolongation, Nausea, Pruritus, Rash, Candidiasis, Fatigue.",,730
8,Simycin,EL-simycin,Eli Lilly,Immunological,Antirheumatic,68761-509-57,290.2,Extended-Release Tablet,"75 mcg Extended-Release Tablet, 90 Extended-Release Tablets per bottle. Typical dosing: as directed by physician.","simycin is a antirheumatic medication classified under immunological drugs.

Mechanism of Action: simycin works by binding to specific receptors in target tissues.

Pharmacokinetics: Absorption is pH-dependent, optimized in acidic environment. Accumulates in adipose tissue due to lipophilic properties. Metabolized to active metabolites that contribute to the therapeutic effect. Clearance is reduced in patients with renal impairment.

Contraindications: Hypersensitivity to the active substance or any of the excipients; Severe hepatic impairment; Pregnancy and lactation; Severe renal impairment.

Common Adverse Effects: Pruritus, Headache, Fatigue, Abdominal pain, Diarrhea, Vomiting, Rash.",,661
9,Vamicin,vamicin D,Amgen,Antibiotic,Glycopeptide,39646-387-23,95.72,Oral Suspension,"0.1 % Oral Suspension, 120 mL bottle. Typical dosing: twice daily.","vamicin is indicated for the treatment of infections caused by susceptible strains of designated microorganisms.

Mechanism of Action: vamicin works by interfering with bacterial folate synthesis, inhibiting DNA and RNA production.

Pharmacokinetics: Slowly absorbed after oral administration. Widely distributed throughout body tissues. Metabolism shows significant inter-individual variability. Eliminated primarily via renal excretion of unchanged drug.

Contraindications: Known bacterial resistance; Severe renal impairment; Pregnancy and lactation; Hypersensitivity to the active substance or any of the excipients; Myasthenia gravis (for certain antibiotic classes).

Common Adverse Effects: Allergic reactions, Tooth discoloration, Candidiasis, Nausea.",,668
10,Semethasone,semethasone Maleate D,AstraZeneca,Immunological,Immunosuppressant,58758-679-20,263.3,Tablet,"1.0 g Tablet, 100 Tablets per bottle. Typical dosing: as directed by physician.","semethasone belongs to the class of immunosuppressant agents within the immunological category.

Mechanism of Action: semethasone works by enhancing physiological defense mechanisms.

Pharmacokinetics: Slowly absorbed after oral administration. Crosses the blood-brain barrier. Metabolized through multiple pathways with no single dominant route. Clearance is reduced in patients with renal impairment.

Contraindications: Hypersensitivity to the active substance or any of the excipients; Pregnancy and lactation; Severe hepatic impairment.

Common Adverse Effects: Fatigue, Rash, Vomiting, Pruritus, Dizziness, Headache, Nausea.",,681
